mclust_cluster,n,protective_stops,protective_stop_rate,relative_to_overall
10,694,147,0.21181556195965417,5.603969274148405
6,396,42,0.10606060606060606,2.8060279049487686
2,1954,63,0.03224155578300921,0.853009506417384
8,368,6,0.016304347826086956,0.431361432593056
3,825,9,0.01090909090909091,0.28862001308044477
5,819,8,0.009768009768009768,0.2584306181428484
4,605,3,0.0049586776859504135,0.1311909150365658
1,620,0,0,0
7,664,0,0,0
9,410,0,0,0
