term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),14.81273178271199,1802.7953875007431,0.008216535212710535,0.993444227175524,-105.8625789239687,NA
age,0.042181374009275824,0.02804530440336738,1.5040440782026647,0.13257001770083696,-0.010109011722678076,0.10157955288506405
genderM,0.4385439363641196,0.7791515078026385,0.5628480879166881,0.573538331918735,-1.1463084878811813,1.9611616494943693
riskIntermediate,-16.019849395294898,1802.794580935912,-0.008886120229504057,0.9929099951717288,NA,98.34987326598198
riskLow,-18.53086469564797,1802.7945196292046,-0.010278966623139815,0.9917987156513715,NA,109.95632971209217
responseExcellent,-4.150932466917753,1.1876800717012237,-3.4949920991534276,4.740757886315405e-4,-7.210911510128231,-2.1274703999686446
responseIndeterminate,-2.9327759746379733,0.934999540226619,-3.1366603388137992,0.0017088397058694154,-4.967174941033286,-1.2306403138760416
responseStructural Incomplete,2.8704184656238994,1.062260889400549,2.7021784330624494,0.006888678286411017,0.9465262598616125,5.233419169046305
adenopathyExtensive,15.166767744468553,3783.455036202299,0.004008708336518895,0.9968015220759849,-484.6472097166336,NA
adenopathyLeft,1.5302944858435308,1.6030514829381104,0.9546134370174881,0.3397732194724478,-1.5993554856115617,4.814688033007351
adenopathyNo,0.3678105341229022,1.1722160969941486,0.3137736591965075,0.753692951676473,-1.90493681966357,2.765221879319006
adenopathyPosterior,-0.04375170728491919,7761.434267303123,-5.637064720013619e-6,0.9999955022730916,NA,487.5607991874219
adenopathyRight,0.9846321620686052,1.3586073884848766,0.72473635165982,0.46861378947504545,-1.6442203554389192,3.7646163105371966
