term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-10.43867139898,12690.732177074,-8.225428803735705e-4,0.9993437058091572,-478.07619781040626,435.0093256697866
age,0.057492826430501014,0.04606356945477785,1.2481192211329528,0.2119874002533961,-0.027628122910586004,0.16251215026724514
genderM,0.3467600127226342,1.2484482809983755,0.27775280562309923,0.7812021217624654,-2.3013388966472275,2.8227610864651425
riskIntermediate,-19.85401403492268,5739.69693488436,-0.0034590700972825295,0.9972400668784874,-201.90289961827784,167.59019251336525
riskLow,-21.626990820250068,5739.697278397759,-0.0037679671542341794,0.9969936042959481,-212.6583529281511,171.4251329151995
stageII,4.558734949534498,2.114423622171398,2.156017792145609,0.031082275885608534,0.9111833204154325,9.788561584375215
stageIII,13.868876536319485,13251.150610739927,0.0010466167764389379,0.9991649207854607,-1086.892394479649,NA
stageIVA,-1.6286219805761692,17401.016300548767,-9.359349778465574e-5,0.9999253231932351,-577.4261915061395,546.6443649696639
stageIVB,-3.6739488800312565,18316.29739721968,-0.00020058360051464018,0.9998399574430723,-598.340734786789,603.1394698596827
responseExcellent,-6.923369399518418,2.4925614070105633,-2.7776123709713993,0.005475990170844119,-13.260240201326727,-3.1366894022852883
responseIndeterminate,-5.315407973770326,1.9992656354444447,-2.658680207139503,0.007844738502000077,-10.68220821100278,-2.230703589734214
responseStructural Incomplete,3.5332083766955837,1.7847467282848308,1.9796693394647944,0.04774069594340393,0.4199521705255458,7.827270389078485
adenopathyExtensive,47.523508284585795,11991.927542291565,0.003962958258127068,0.9968380250672259,-798.6389310812895,NA
adenopathyLeft,4.352716604048459,2.7607304526891627,1.5766539612038475,0.1148751691710955,-0.68603931802174,10.737184593827976
adenopathyNo,1.725530813745368,2.5676316311490135,0.6720320753227339,0.5015632767685728,-3.3549359286333402,7.123085467229442
adenopathyPosterior,-7.949312729169372,18241.5184332494,-4.3578130615924525e-4,0.9996522968349342,-638.9315570419935,609.3010616640281
adenopathyRight,4.293740458929247,2.82660785666849,1.5190435591550204,0.12875153200085773,-0.575044798944842,11.146686604652862
physical_examinationMultinodular goiter,12.507752812294362,10798.622729264052,0.0011582729692369567,0.9990758320872939,-807.1956219761221,NA
physical_examinationNormal,-5.871920438573964,13084.103414174388,-4.487827902837227e-4,0.9996419231524984,-485.3122479871745,514.6007448863345
physical_examinationSingle nodular goiter-left,13.362654475791771,10798.62273744328,0.0012374406255955155,0.9990126654819046,-775.566351293261,NA
physical_examinationSingle nodular goiter-right,11.8221130732361,10798.622782499622,0.001094779705833892,0.9991264923497242,-685.6720487214843,NA
smokingYes,0.6837546601532146,2.3993952430567727,0.2849695822861295,0.7756674459388427,-3.8267430396956725,6.1863171686671485
hx_smokingYes,-1.6311604335288252,2.835032723200983,-0.5753585911654353,0.5650488032394327,-7.163675184371567,4.019799899896509
hx_radiothreapyYes,-12.111562016272693,11579.50108200641,-0.0010459485197590302,0.9991654539768564,-410.9160664135891,400.741782668565
pathologyHurthel cell,-4.113298478998633,2.503677304418139,-1.6429028100945997,0.10040304353500976,-10.254480470322331,0.21268279364636036
pathologyMicropapillary,-11.88211397523062,3578.6689875675793,-0.003320260693713081,0.9973508201221309,NA,285.3947292981072
pathologyPapillary,-0.0013262703275728441,1.8999947404349404,-6.980389468179469e-4,0.999443045546725,-3.896137062984143,3.800864574119079
focalityUni-Focal,1.4073290473222089,1.4095492928077964,0.9984248543155487,0.31807338649732103,-1.3030208463729005,4.436324494982555
tT1b,16.07848966668507,3391.207188462277,0.004741228940947063,0.9962170608017324,-241.34174314282922,NA
tT2,12.358323874697241,3391.207089149008,0.003644225654705873,0.9970923350498461,-226.92865086971852,NA
tT3a,14.05204366551595,3391.2067601251983,0.004143670574954023,0.9966938386843286,-233.70375285342953,NA
tT3b,14.828356468048119,3391.2069499185295,0.004372589667051831,0.9965111893313462,-224.45860845212496,NA
tT4a,13.712940640606456,3391.4541685621057,0.0040433807915559745,0.9967738576836346,-234.06093111782928,NA
tT4b,12.826111336854126,17068.658007794897,7.51442282749863e-4,0.9994004358606849,-609.4894423841779,643.0666459377231
nN1a,-1.8109269354632838,2.4315814376610003,-0.7447527388616934,0.45642121044615874,-7.059872395468413,2.748455374972173
nN1b,1.3757286627414624,2.3022159357006537,0.5975671705715888,0.5501287750610598,-3.217017644995494,6.117745874293479
mM1,10.889925516374642,6567.790470055718,0.0016580805319573871,0.9986770437491689,-183.88960622447382,202.52649053611913
